recipient_id,recipient,france,germany,japan,uk,us,dac,eu,multilateral,non_dac,un,wb,recipient_pop,code,sdg_index,total_pop,china,totaloda,suits_suits_germany_index
666,Bangladesh,844.36127,1305.967,11832.374,2032.1057,3518.7764,23563.588,1660.1069,25001.582,742.0471,1038.9161,14071.971,164913055.0,BGD,62.11111,6.370478e+09,2795.5564,52102.773,0.020032462
728,Cambodia,858.12866,437.3739,2100.6804,32.601624,1047.8325,6491.6494,754.6711,4663.2744,83.23186,322.44708,990.7986,16481304.0,KHM,62.27778,6.370478e+09,1765.3788,13003.534,0.0020389995
227,Botswana,6.243343,8.24304,183.28203,15.898005,572.2983,809.4108,70.83359,365.31696,2.854326,63.862717,0.0,2332083.0,BWA,62.8,6.370478e+09,48.221344,1225.8035,0.00028985285
463,Venezuela,81.44371,104.50712,16.960386,55.813347,660.01447,1492.3894,262.11624,490.11078,30.883295,133.61241,0.0,28938098.0,VEN,62.822224,6.370478e+09,92.68987,2106.0732,0.0036008921
218,South Africa,1619.1986,2331.8872,70.50676,439.0247,5701.3765,10860.63,1242.3909,2905.1997,23.089981,189.31706,0.0,59587885.0,ZAF,62.833332,6.370478e+09,30.457672,13819.377,0.0076015703
268,Sao Tome and Principe,4.753289,0.046852,18.737885,0.656417,1.322382,217.06868,75.493675,448.80884,1.110623,62.651833,150.20576,213392.0,STP,63.355556,6.370478e+09,93.37337,760.3615,2.7862463e-05
645,India,2099.0566,10193.179,20648.62,1346.5413,1379.8253,36795.52,3102.6787,16101.758,319.64285,1159.8674,9033.959,1389030312.0,IND,63.777775,6.370478e+09,0.6894096,53217.61,0.19958188
616,Turkmenistan,3.829034,13.9570465,8.233254,4.254044,42.552933,88.52048,38.246323,139.18164,75.87657,32.835194,0.0,6803944.0,TKM,63.9,6.370478e+09,1.617933,305.19662,0.0010669751
239,Gabon,880.7051,8.341868,28.907103,0.323534,32.67238,983.6392,58.0684,147.31241,2.828137,65.02496,0.0,2267706.0,GAB,63.966667,6.370478e+09,242.73608,1376.5159,0.00035568024
364,Nicaragua,15.7502775,106.01781,104.13628,3.288695,407.53638,1533.4753,489.3089,4933.275,88.26378,117.0957,693.7465,6483657.0,NIC,64.14445,6.370478e+09,18.0,6573.014,0.0010178887
275,Namibia,64.80686,833.09076,37.72692,9.321306,710.30426,1709.6238,156.06927,652.82983,8.926238,77.108574,0.0,2650494.0,NAM,64.63333,6.370478e+09,222.55603,2593.9358,0.0004193115
230,Cabo Verde,67.10629,5.741687,71.76987,2.66198,82.13052,701.7592,239.29565,800.7799,33.04722,72.307076,364.4232,514104.0,CPV,65.022224,6.370478e+09,193.44821,1729.0345,8.1886756e-05
755,Philippines,1039.9539,376.26593,6976.1885,137.01436,1938.9038,12446.48,423.34912,1295.4592,147.01349,220.62163,0.0,110804683.0,PHL,65.67778,6.370478e+09,475.13315,14364.086,0.017703488
753,Mongolia,95.156334,259.30826,1202.2749,14.591214,281.32074,2730.3113,212.13655,1505.2577,86.36503,91.82075,561.202,3232113.0,MNG,65.71111,6.370478e+09,573.76135,4895.6953,0.0005190443
660,Nepal,28.014896,488.15982,779.5313,1044.5425,1636.0955,5613.5605,645.9874,9240.668,89.13804,426.66837,4190.115,28414064.0,NPL,66.32222,6.370478e+09,1475.3937,16418.76,0.004590335
446,Guyana,2.526157,5.058282,16.757341,15.996657,54.64929,216.72856,126.99028,950.6602,5.683747,49.61243,182.38722,807665.0,GUY,66.41111,6.370478e+09,156.55789,1329.6304,0.00013099203
142,Egypt,2505.7527,2560.5217,2365.0198,215.07495,1728.3358,10544.936,6226.6953,8631.76,20419.621,307.37936,0.0,107553158.0,EGY,66.81111,6.370478e+09,1676.1108,41272.426,0.017798653
428,Bolivia,817.6478,381.87476,126.16704,10.982257,40.652122,2714.517,569.22296,4632.7134,5.8868527,129.10916,519.01495,11671386.0,BOL,66.844444,6.370478e+09,246.2419,7599.3594,0.0019756486
